Player,Player Anonymized,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Made,Avg. Points,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Height (Inches),Weight (Pounds)
Chris Bosh,885,MIA,Power Forward,4.2,1.5,2.4,0.6,14.5,6.8,4,19.1,0.7,7.4,1.5,83,235
Blake Griffin,386,LAC,Power Forward,0.5,0.2,4.9,0.5,17.3,8.6,4,21.4,0.8,8.4,2.4,82,251
Derrick Favors,789,UTA,Power Forward,0.1,0,1.5,1.5,13.1,6.7,2.9,16.4,1.2,8.1,1.7,82,247
Serge Ibaka,553,OKL,Power Forward,2.4,0.8,0.8,1.9,11.1,5.3,1.2,12.6,0.5,6.8,1.4,82,236
Paul Millsap,542,ATL,Power Forward,2.9,0.9,3.3,1.7,13.2,6.2,3.8,17.1,1.8,9,2.4,80,247
Pau Gasol,173,CHI,Power Forward,1,0.3,4.1,2,13.8,6.5,3.2,16.5,0.6,11,2.3,84,254
Kevin Love,691,CLE,Power Forward,5.7,2.1,2.4,0.5,12.7,5.3,3.4,16,0.8,9.9,1.8,82,251
Dirk Nowitzki,649,DAL,Power Forward,4.6,1.7,1.8,0.7,14.8,6.6,3.3,18.3,0.7,6.5,1.1,84,245
Lamarcu Aldridge,848,SAN,Power Forward,0.2,0,1.5,1.1,14.1,7.2,3.5,18,0.5,8.5,1.3,83,240
Demarcus Cousins,940,SAC,Center,3.2,1.1,3.3,1.4,20.5,9.2,7.3,26.9,1.6,11.5,3.8,83,269
Marc Gasol,637,MEM,Center,0.1,0,3.8,1.3,13.6,6.3,3.9,16.6,1,7,2.3,85,265
Deandre Jordan,517,LAC,Center,0,0,1.2,2.3,6.6,4.6,3.5,12.7,0.7,13.8,1.4,83,265
Brook Lopez,284,BRO,Center,0.2,0,2,1.7,15.8,8.1,4.3,20.6,0.8,7.9,2.4,84,265
Andre Drummond,325,DET,Center,0.1,0,0.8,1.4,13.1,6.8,2.6,16.2,1.5,14.8,1.9,84,280
Dwight Howard,275,HOU,Center,0.1,0,1.4,1.6,8.5,5.2,3.3,13.7,1,11.8,2.3,83,265
Rudy Gobert,678,UTA,Center,0,0,1.5,2.1,5.8,3.2,2.6,9.1,0.7,11,1.9,85,245
Karl-Anthony Towns,516,MIN,Center,1.1,0.4,2,1.7,14,7.6,2.7,18.3,0.7,10.4,2.2,84,247
Nikola Vucevic,253,ORL,Center,0.1,0,2.8,1.1,16.1,8.2,1.7,18.2,0.8,8.8,1.9,84,260
Marcin Gortat,347,WAS,Center,0,0,1.4,1.3,10.2,5.8,1.9,13.5,0.6,9.9,1.6,83,240
