Car,Sedan,Sports Car,SUV,Wagon,Minivan,AWD,RWD,Retail Price,Dealer Cost,Engine Size (l),Cylinders,HP,City MPG,Hwy MPG,Weight,Wheel Base,Len,Width,Car Anonymized
BMW 325i 4dr,1,0,0,0,0,1,0,30245,27745,2.5,6,184,19,27,3461,107,176,69,3
Chevrolet Malibu 4dr,1,0,0,0,0,0,0,18995,17434,2.2,4,145,24,34,3174,106,188,70,24
Honda Civic EX 4dr,1,0,0,0,0,0,0,17750,16265,1.7,4,127,32,37,2601,103,175,68,8
Hyundai Elantra GT 4dr,1,0,0,0,0,0,0,15389,14207,2,4,138,26,34,2635,103,178,68,26
Nissan Altima S 4dr,1,0,0,0,0,0,0,19240,18030,2.5,4,175,21,26,3039,110,192,70,49
Buick Century Custom 4dr,1,0,0,0,0,0,0,22180,20351,3.1,6,175,20,30,3353,109,195,73,27
Porsche 911 GT2 2dr,0,1,0,0,0,0,1,192465,173560,3.6,6,477,17,24,3131,93,175,72,11
Audi TT 1.8 convertible 2dr (coupe),0,1,0,0,0,0,0,35940,32512,1.8,4,180,20,28,3131,95,159,73,22
Jaguar XK8 coupe 2dr,0,1,0,0,0,0,1,69995,63756,4.2,8,294,18,26,3779,102,187,71,38
Nissan 350Z coupe 2dr,0,1,0,0,0,0,1,26910,25203,3.5,6,287,20,26,3188,104,169,72,17
Mercedes-Benz SL600 convertible 2dr,0,1,0,0,0,0,1,126670,117854,5.5,12,493,13,19,4429,101,179,72,16
BMW M3 convertible 2dr,0,1,0,0,0,0,1,56595,51815,3.2,6,333,16,23,3781,108,177,70,5
Chevrolet Corvette 2dr,0,1,0,0,0,0,1,44535,39068,5.7,8,350,18,25,3246,105,180,74,9
Chrysler Crossfire 2dr,0,1,0,0,0,0,1,34495,32033,3.2,6,215,17,25,3060,95,160,70,32
Ford Mustang GT Premium convertible 2dr,0,1,0,0,0,0,1,29380,26875,4.6,8,260,17,25,3347,101,183,73,13
Honda S2000 convertible 2dr,0,1,0,0,0,0,1,33260,29965,2.2,4,240,20,25,2835,95,162,69,49
GMC Yukon XL 2500 SLT,0,0,1,0,0,1,0,46265,40534,6,8,325,13,17,6133,130,219,79,3
Cadillac Escaladet,0,0,1,0,0,0,0,52795,48377,5.3,8,295,14,18,5367,116,199,79,40
Chevrolet Suburban 1500 LT,0,0,1,0,0,0,0,42735,37422,5.3,8,295,14,18,4947,130,219,79,13
Jeep Grand Cherokee Laredo,0,0,1,0,0,0,0,27905,25686,4,6,195,16,21,3790,106,181,72,32
Land Rover Discovery SE,0,0,1,0,0,1,0,39250,35777,4.6,8,217,12,16,4576,100,185,74,15
Nissan Pathfinder SE,0,0,1,0,0,0,0,27339,25972,3.5,6,240,16,21,3871,106,183,72,43
BMW X5 4.4i,0,0,1,0,0,1,0,52195,47720,4.4,8,325,16,22,4824,111,184,74,16
Buick Rainier,0,0,1,0,0,1,0,37895,34357,4.2,6,275,15,21,4600,113,193,75,39
Dodge Durango SLT,0,0,1,0,0,1,0,32235,29472,4.7,8,230,15,21,4987,119,201,76,11
Ford Escape XLS,0,0,1,0,0,1,0,22515,20907,3,6,201,18,23,3346,103,173,70,9
